,17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,LBW242,Lapatinib,Nilotinib,Nutlin-3,PD-0325901,PD-0332991,PF2341066,PHA-665752,PLX4720,Paclitaxel,Panobinostat,RAF265,Sorafenib,TAE684,TKI258,Topotecan,ZD-6474
KALS-1,1.0,,1.0,0.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,
KARPAS-299,1.0,1.0,,1.0,,,,0.0,,,,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,,1.0,1.0,1.0,
KARPAS-422,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,
KARPAS-620,0.0,1.0,,1.0,,0.0,1.0,,,,0.0,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,,1.0,1.0,1.0,
KASUMI-2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,
KCI-MOH1,1.0,1.0,1.0,1.0,1.0,,,,0.0,,,1.0,,1.0,,,,1.0,,,1.0,1.0,0.0,1.0
KCL-22,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
KE-39,1.0,1.0,1.0,,1.0,,0.0,,0.0,1.0,,0.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,0.0,1.0
KE-97,1.0,1.0,1.0,,0.0,1.0,1.0,,0.0,,1.0,,0.0,0.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,
KELLY,0.0,,,,,,,,,,,1.0,,,,,0.0,1.0,,,1.0,,1.0,
KG-1,,,,1.0,,,,,,,,,,,,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0
KHM-1B,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0
KLE,,,,,,0.0,,,,,,,,,,,,1.0,,,,,0.0,1.0
KMBC-2,1.0,1.0,,1.0,1.0,0.0,,1.0,1.0,,,1.0,1.0,,,,0.0,1.0,0.0,,,0.0,1.0,1.0
KMM-1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KMRC-1,1.0,1.0,1.0,,0.0,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0,,0.0,1.0,1.0,1.0
KMRC-2,0.0,,1.0,,,0.0,,,1.0,0.0,,0.0,,,,,1.0,1.0,1.0,,0.0,1.0,0.0,0.0
KMS-11,1.0,1.0,,,,1.0,1.0,,0.0,1.0,,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
KMS-12-BM,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,1.0,
KMS-26,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
KMS-34,1.0,1.0,,,,1.0,1.0,,0.0,1.0,,,1.0,0.0,1.0,,1.0,1.0,,1.0,1.0,0.0,1.0,
KNS-42,1.0,1.0,,,,1.0,,,,,,,0.0,1.0,,,1.0,0.0,1.0,,0.0,1.0,1.0,0.0
KNS-60,1.0,0.0,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,0.0,1.0,1.0,0.0
KNS-62,0.0,1.0,,1.0,,,,,1.0,,,0.0,,,,,0.0,0.0,1.0,,,1.0,0.0,
KNS-81,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
KO52,0.0,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,0.0,1.0,1.0,,1.0,1.0,1.0,
KP-1N,0.0,1.0,0.0,,,0.0,,,1.0,0.0,,1.0,,1.0,,,1.0,0.0,0.0,,1.0,1.0,0.0,
KP-1NL,0.0,1.0,1.0,1.0,,0.0,,,0.0,1.0,,1.0,,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
KP-2,1.0,1.0,1.0,1.0,,0.0,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
KP-3,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,,,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
KP-N-SI9s,1.0,1.0,0.0,1.0,,1.0,1.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
KP4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,0.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
KU812,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,0.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0
KURAMOCHI,,1.0,1.0,,1.0,0.0,,,1.0,1.0,,1.0,,,1.0,,1.0,0.0,1.0,,1.0,1.0,1.0,1.0
KYM-1,1.0,1.0,,0.0,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,
KYSE-140,0.0,1.0,1.0,1.0,1.0,,,,1.0,,,0.0,,,,0.0,,1.0,,1.0,0.0,1.0,,1.0
KYSE-150,1.0,1.0,0.0,,1.0,,,,1.0,,,1.0,,,,,1.0,0.0,1.0,,1.0,1.0,0.0,0.0
KYSE-180,1.0,1.0,1.0,,1.0,,,,1.0,,,0.0,,,,0.0,,1.0,,1.0,1.0,0.0,1.0,1.0
KYSE-30,0.0,1.0,0.0,1.0,1.0,0.0,,,0.0,0.0,,1.0,,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
KYSE-410,1.0,0.0,1.0,,1.0,,,,1.0,0.0,,0.0,,,,,0.0,1.0,1.0,,0.0,0.0,0.0,0.0
KYSE-450,0.0,1.0,1.0,,1.0,,,,1.0,,,0.0,,,,,1.0,0.0,,,,0.0,0.0,1.0
KYSE-510,1.0,0.0,,,,,,,1.0,,,,,,,1.0,,0.0,,0.0,0.0,0.0,1.0,
KYSE-520,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,0.0,,0.0,,1.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
KYSE-70,1.0,1.0,0.0,1.0,1.0,,,,1.0,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,0.0,1.0
L-363,1.0,1.0,0.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,,1.0,1.0
L-428,0.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
L3.3,1.0,,,0.0,1.0,1.0,,,1.0,,,0.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
LC-1/sq-SF,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,0.0,0.0,0.0,,1.0,0.0,0.0,1.0
LCLC-103H,0.0,0.0,,,,0.0,,,,,,1.0,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
LN-18,1.0,1.0,,,,1.0,,,0.0,,,,,1.0,1.0,,0.0,1.0,1.0,,,1.0,1.0,
LN-229,1.0,0.0,0.0,1.0,0.0,,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
LOU-NH91,1.0,,1.0,,0.0,1.0,,,,,,,,1.0,,,1.0,0.0,1.0,,1.0,,1.0,
LOX IMVI,1.0,0.0,1.0,1.0,,,,,,,1.0,0.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
LP-1,0.0,1.0,,,,0.0,,,,1.0,,,1.0,,,,0.0,1.0,,,,,1.0,
LS123,1.0,0.0,1.0,1.0,1.0,,,,,0.0,,1.0,,1.0,,,0.0,1.0,0.0,,0.0,,0.0,0.0
LS411N,1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,
LS513,1.0,1.0,,1.0,,1.0,,,0.0,1.0,,1.0,0.0,0.0,,,1.0,1.0,,,1.0,,,1.0
LU99,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
LUDLU-1,1.0,,0.0,1.0,1.0,,,,,1.0,,,1.0,0.0,,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0
M059J,1.0,,1.0,,,,,1.0,,1.0,,,,,,,1.0,0.0,0.0,,1.0,0.0,0.0,
MB 157,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,0.0,,,1.0,1.0,1.0
MC116,0.0,,,,,,,,,,1.0,,1.0,,,,1.0,0.0,,,,,1.0,
