,17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,LBW242,Lapatinib,Nilotinib,Nutlin-3,PD-0325901,PD-0332991,PF2341066,PHA-665752,PLX4720,Paclitaxel,Panobinostat,RAF265,Sorafenib,TAE684,TKI258,Topotecan,ZD-6474
U-118 MG,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,0.0,1.0,1.0,
U-2 OS,1.0,0.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
U-87 MG,1.0,,,,,1.0,,,1.0,,0.0,0.0,1.0,1.0,,,1.0,1.0,1.0,,0.0,1.0,0.0,
U-937,1.0,0.0,,0.0,1.0,1.0,,,1.0,0.0,,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,,1.0,1.0,1.0,
UACC-257,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,0.0
UACC-62,1.0,0.0,,1.0,0.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,
UACC-812,1.0,1.0,0.0,,,0.0,,,,,,1.0,,,,,,1.0,,,1.0,,,
UM-UC-3,0.0,,1.0,1.0,,1.0,,,,,,1.0,0.0,,,,1.0,1.0,1.0,,,,1.0,1.0
VMRC-LCD,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,0.0,1.0
VMRC-RCW,0.0,1.0,0.0,,1.0,1.0,,1.0,0.0,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0,,0.0,1.0
VMRC-RCZ,1.0,1.0,1.0,,1.0,0.0,,,1.0,,,,,1.0,,,0.0,1.0,0.0,,1.0,1.0,0.0,1.0
WM-115,1.0,,,1.0,1.0,,,0.0,,,,1.0,,,,1.0,0.0,0.0,,,,1.0,1.0,
WM-266-4,1.0,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0
WM-793,1.0,1.0,,1.0,,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,,0.0,1.0,1.0,0.0
WM-88,1.0,1.0,,1.0,,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
WM-983B,1.0,1.0,1.0,1.0,,,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0
WM1799,1.0,0.0,,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,
YKG1,1.0,1.0,1.0,,,0.0,1.0,,,0.0,,0.0,1.0,1.0,,,1.0,1.0,,,0.0,0.0,0.0,
ZR-75-1,,,,0.0,,,0.0,,,,,,,,,,1.0,1.0,,,,1.0,,
ZR-75-30,1.0,,,,,0.0,,,1.0,,,,,,,,1.0,1.0,0.0,,,,,
huH-1,1.0,1.0,1.0,,0.0,1.0,,,,1.0,,1.0,1.0,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
